,type,key,freq
8201,T,n,star,6455
156,T,n,telescope,3893
8416,T,n,earth,2112
20252,T,n,light,2054
3394,T,n,moon,1893
3387,T,n,planet,1786
1402,T,n,galaxy,1302
937,T,n,orbit,983
1,T,n,nebula,842
22105,T,n,number,821
142,T,n,astronomy,785
334,T,n,constellation,764
8461,T,n,observation,712
4319,T,n,lens,706
794,T,n,astronomer,661
20826,T,n,space,637
88,T,n,stellarium,608
8209,T,n,satellite,589
3440,T,n,comet,526
20274,T,n,datum,525
851,T,n,wavelength,521
15980,T,n,scope,519
863,T,an,solar system,511
20376,T,n,atmosphere,511
15949,T,a,apparent,493
2,T,n,kstars,479
15271,T,n,pole,461
1229,T,n,eclipse,445
20387,T,n,device,445
11,T,n,declination,441
15893,T,n,cloud,434
939,T,a,faint,421
3439,T,n,jupiter,419
13,T,n,ecliptic,416
8452,T,n,spectrum,409
675,T,n,meridian,400
2389,T,n,binoculars,390
125,T,a,equatorial,386
106,T,n,aperture,373
8440,T,n,universe,359
6,T,an,focal length,344
936,T,n,orion,333
7,T,n,skysafari,329
15966,T,n,dust,328
22,T,n,asteroid,320
8,T,a,milky,319
20338,T,n,exposure,319
277,T,n,magnification,318
202,T,n,supernova,306
20565,T,n,ring,299
9,T,n,meteor,295
678,T,n,velocity,293
2818,T,n,venus,288
926,T,n,zenith,285
72,T,n,ascension,279
1027,T,a,star,275
10,T,an,celestial sphere,272
32,T,n,hydrogen,271
2416,T,n,radius,271
86,T,n,azimuth,263
938,T,an,bright star,257
1575,T,n,saturn,252
15889,T,n,courtesy,250
3393,T,n,aberration,248
2383,T,n,crater,243
44,T,nn,star party,229
46,T,an,celestial object,223
114,T,an,variable star,209
2414,T,n,atom,209
15260,T,n,mercury,209
14,T,n,electron,204
119,T,n,refractor,203
54,T,n,neptune,202
21202,T,n,coast,201
163,T,n,equinox,200
15,T,nn,paul thomas,199
16,T,n,parallax,198
18,T,n,photon,195
20623,T,n,wave,188
19,T,n,hubble,186
20,T,nn,kstars handbook,185
1030,T,nn,deep-sky object,185
1792,T,n,nucleus,183
77,T,nn,star cluster,182
80,T,n,uranus,178
4331,T,n,light-year,178
15280,T,n,gravity,176
140,T,an,celestial pole,171
218,T,n,ephemeris,166
1382,T,an,coordinate system,166
5719,T,n,spacecraft,164
20894,T,n,belt,164
22646,T,n,century,164
1220,T,n,haggart,163
8232,T,an,black hole,159
97,T,an,celestial equator,158
23,T,an,magnetic field,157
24,T,n,ekos,156
25,T,an,sidereal time,155
103,T,nn,city astronomer,154
15975,T,n,x-ray,153
161,T,a,elliptical,152
27,T,n,indi,150
28,T,n,reflector,144
29,T,n,sunspot,144
30,T,an,double star,142
1218,T,n,helium,142
181,T,n,planetarium,141
31,T,an,solar eclipse,136
2821,T,n,antenna,136
21717,T,n,item,136
22194,T,n,stewart,136
33,T,an,deep sky,135
19460,V[m],an,deep sky,135
21195,T,n,panel,135
8454,T,n,alpha,133
20765,T,n,cycle,133
2069,T,n,flux,131
36,T,n,neutron,129
124,T,a,globular,129
5830,T,n,click,129
208,T,n,pluto,128
22949,T,n,march,128
21650,T,n,wind,126
38,T,nn,hour angle,125
39,T,n,spectra,123
221,T,n,andromeda,123
15317,T,n,sunlight,123
2392,T,n,absorption,121
43,T,nan,haggart public night,115
20306,T,n,panorama,115
144,T,an,light curve,112
20394,T,n,noon,111
47,T,nnn,rose city astronomer,110
267,T,a,infrared,108
151,T,an,full moon,107
3444,T,n,nasa,106
20326,T,n,limb,106
280,T,nn,space telescope,105
1130,T,an,amateur astronomer,104
51,T,an,dark sky,102
52,T,n,slew,102
160,T,nn,spiral galaxy,102
2382,T,n,astrophotography,102
17021,V[m]+,an,dark sky,102
2390,T,n,greenwich,99
57,T,a,geocentric,98
1233,T,a,ultraviolet,98
59,T,n,photometry,97
62,T,n,elongation,97
2070,T,an,planetary nebula,97
15898,T,n,dusk,97
63,T,n,proton,96
64,T,n,solstice,96
173,T,an,celestial body,96
66,T,an,lunar eclipse,95
67,T,n,ellipse,95
68,T,n,encoder,95
177,T,an,globular cluster,95
927,T,an,light pollution,95
15971,T,n,extinction,95
69,T,n,diffraction,94
336,T,an,equatorial mount,94
523,T,an,small telescope,94
70,T,an,faint star,93
71,T,nn,zenith distance,93
526,T,a,newtonian,93
3201,V[s]+,an,faint star,93
3391,T,n,polarization,93
20218,T,n,glow,93
21177,T,n,storm,93
74,T,nn,sky object,92
75,T,n,gamma,92
188,T,n,calibration,92
78,T,an,focal ratio,89
81,T,nnn,rooster rock sp,89
82,T,n,kepler,88
83,T,n,goto,88
85,T,n,asterism,88
20771,T,n,newton,88
87,T,n,tripod,87
8422,T,a,delta,87
20422,T,n,sketch,87
207,T,an,binary star,86
384,T,an,astronomical unit,86
385,T,an,selected object,86
8436,T,an,northern hemisphere,86
9504,V[s],an,selected object,86
11595,V[s],an,astronomical unit,86
89,T,an,white dwarf,85
209,T,an,angular distance,85
15321,T,n,nova,85
15812,V[mg],an,white dwarf,85
90,T,n,cursor,84
212,T,an,spectral type,84
216,T,an,large telescope,84
217,T,n,exoplanets,84
852,T,an,electromagnetic radiation,84
14852,V[s]+,an,spectral type,84
92,T,nnn,stub stewart sp,83
15318,T,n,eccentricity,83
93,T,n,dipper,82
222,T,ann,star book ten,82
11106,V[img],ann,star book ten,82
227,T,n,nebulosity,81
865,T,nn,radio telescope,81
8437,T,n,simulation,81
17010,V[mg]+,nn,radio telescope,81
20920,T,n,trail,81
21352,T,a,crescent,81
95,T,an,open cluster,80
96,T,n,quasar,80
231,T,a,periodic,80
233,T,an,orbital element,80
8438,T,n,sunrise,80
98,T,n,photosphere,79
100,T,n,occultation,78
102,T,n,polaris,77
241,T,nn,go-to slewing,77
460,T,n,celestron,77
104,T,an,polar axis,76
465,T,n,astrophysics,76
1002,T,an,chromatic aberration,75
261,T,n,hydrogen-alpha,74
107,T,n,glossary,73
108,T,n,prism,73
109,T,n,toggle,73
110,T,an,universal time,73
262,T,an,spectral line,73
263,T,an,polar alignment,73
740,T,nn,supernova remnant,73
10427,V[s]+,an,spectral line,73
15903,T,n,dome,73
20420,T,a,prominent,73
111,T,nn,moon map,72
795,T,n,starlight,71
3388,T,n,quantum,71
113,T,n,cosmology,70
796,T,an,secondary mirror,70
115,T,n,neutrino,69
116,T,n,ptolemy,69
117,T,n,parsec,69
280,V[s],nnn,hubble space telescope,69
284,T,n,grating,69
285,T,nnn,hubble space telescope,69
2707,V[s],nnn,hubble space telescope,69
20224,T,an,southern hemisphere,69
20403,T,n,daylight,69
20600,T,n,interference,69
286,T,nn,neutron star,68
122,T,n,taurus,66
308,T,n,dobsonian,66
5831,T,n,illumination,66
316,T,a,retrograde,65
317,T,nn,exposure time,65
1187,T,an,vernal equinox,65
6094,V[s]+,nn,exposure time,65
20437,T,n,prominence,65
126,T,npn,brightness of star,64
128,T,n,ursa,62
130,T,an,spherical aberration,62
339,T,an,optical telescope,62
4333,T,a,luminous,62
133,T,an,magellanic cloud,61
347,T,n,ocular,61
357,T,n,virgo,60
1261,T,an,equatorial coordinate,60
137,T,n,fri-sat,59
363,T,n,cygnus,59
1019,T,n,wavefronts,59
20223,T,n,tenerife,59
369,T,n,sirius,58
379,T,n,sagittarius,58
4246,T,n,emulsion,58
20251,T,n,interaction,58
22006,T,n,expansion,58
141,T,n,counterweight,57
386,T,n,cassiopeia,57
1029,T,aan,north celestial pole,57
17986,V[mg]+,an,dark adaptation,57
145,T,n,scintillation,56
392,T,an,photographic plate,56
410,T,n,gamma-ray,55
411,T,ann,solar system object,55
150,T,an,solar time,54
787,T,nn,andromeda galaxy,54
152,T,an,astronomical object,53
153,T,n,chromosphere,53
154,T,n,betelgeuse,53
155,T,an,solar day,53
15985,T,n,flare,53
159,T,an,apparent magnitude,52
431,T,a,godsey,52
442,T,an,julian day,52
1586,T,n,arcminutes,52
461,T,n,obliquity,51
464,T,nn,telescope tube,51
5821,T,n,vega,51
162,T,n,lyrae,50
166,T,n,almanac,50
167,T,n,aurora,50
864,T,a,circumpolar,49
1232,T,an,electromagnetic spectrum,49
174,T,n,spectrometer,48
175,T,nn,night vision,48
176,T,nn,exit pupil,48
504,T,n,pleiades,48
507,T,an,dark nebula,48
18630,V[mg]+,nn,night vision,48
179,T,n,radian,47
180,T,n,titan,47
182,T,an,massive star,47
183,T,an,white light,47
184,T,nn,radius vector,47
185,T,an,sidereal day,47
186,T,n,plugins,47
187,T,an,popup menu,47
522,T,a,cepheid,47
525,T,an,celestial coordinate,47
1384,T,nn,star catalogue,47
1787,T,n,arcseconds,47
190,T,nn,telescope workshop,46
191,T,an,proper motion,46
552,T,an,artificial satellite,46
553,T,an,retrograde motion,46
1394,T,nn,surface brightness,46
194,T,a,gaseous,45
195,T,n,perihelion,45
556,T,n,spectrograph,45
963,T,an,dark matter,45
15270,T,n,cosmos,45
15924,T,an,big bang,45
197,T,an,minor planet,44
199,T,n,sundial,44
200,T,an,solar filter,44
201,T,nn,kuiper belt,44
567,T,an,nuclear reaction,44
587,T,a,achromatic,44
603,T,n,scorpius,44
1480,T,n,crosshair,44
205,T,nn,quarter moon,43
206,T,an,elliptical galaxy,43
1028,T,an,celestial mechanic,43
210,T,nn,alignment star,42
211,T,n,perigee,42
213,T,n,galileo,42
620,T,a,perpendicular,42
21472,T,n,lighting,42
639,T,n,nexstar,41
20990,T,n,rocket,41
228,T,a,gibbous,40
229,T,an,outer layer,40
230,T,an,nuclear fusion,40
234,T,an,lunar surface,40
235,T,a,tidal,40
641,T,a,diurnal,40
648,T,an,atmospheric refraction,40
237,T,n,plasma,39
238,T,n,hipparcos,39
240,T,n,abbreviation,39
23076,T,a,howard,39
242,T,nn,reflection nebula,38
243,T,n,herschel,38
245,T,nn,guide star,38
247,T,n,meteorite,38
700,T,n,supergiant,38
1219,T,n,redshift,38
1780,T,nn,star formation,38
8465,T,n,zodiac,38
252,T,nn,radio wave,37
253,T,n,cygni,37
257,T,n,photomultiplier,37
258,T,nn,radio astronomy,37
259,T,an,visual magnitude,37
737,T,an,automatic goto,37
738,T,npn,rotation of earth,37
20211,T,n,microscope,37
20787,T,n,spin,37
21201,T,n,collision,37
22030,T,n,fringe,37
266,T,n,astrometry,36
272,T,n,alt-azimuth,36
274,T,an,red planet,36
275,T,nn,scope mode,36
276,T,nn,maupin sp,36
750,T,n,penumbra,36
758,T,nn,star field,36
8237,T,an,young star,36
278,T,an,dark frame,35
279,T,n,sextant,35
283,T,ann,milky way galaxy,35
797,T,n,aldebaran,35
798,T,n,rigel,35
800,T,npn,wavelength of light,35
1386,T,n,autofocus,35
20261,T,n,nadir,35
20321,T,n,turbulence,35
20640,T,n,radar,35
287,T,n,quark,34
288,T,n,lobe,34
289,T,an,astronomical observation,34
290,T,nn,sky survey,34
292,T,n,filament,34
293,T,n,micrometer,34
294,T,nn,magnitude star,34
295,T,n,theta,34
298,T,n,hipparchus,34
680,V[s],aan,great red spot,34
845,T,n,schmidt-cassegrain,34
850,T,nn,telescope aperture,34
20770,T,n,backlash,34
20903,T,n,outburst,34
304,T,an,synodic period,33
305,T,n,dipole,33
310,T,n,cassini,33
312,T,n,collimation,33
314,T,npn,line of sight,33
855,T,n,spectroscopy,33
856,T,aan,total solar eclipse,33
858,T,an,apparent brightness,33
20495,T,n,acceleration,33
20567,T,n,auditorium,33
318,T,n,aphelion,32
322,T,an,sidereal period,32
327,T,an,circular orbit,32
328,T,an,cardinal point,32
329,T,n,reticle,32
330,T,npn,speed of light,32
332,T,n,gravitation,32
4170,V[s]+,an,circular orbit,32
343,T,nn,hydrogen atom,31
344,T,a,reddish,31
2385,T,n,stellarmate,31
4321,T,ann,equatorial coordinate system,31
349,T,an,gravitational wave,30
351,T,n,perseus,30
353,T,nn,transfer orbit,30
354,T,npn,mass of star,30
355,T,npn,start of medium,30
356,T,nn,reference star,30
360,T,n,epsilon,30
953,T,an,elliptical orbit,30
995,T,n,astro-imaging,30
1000,T,n,semi-diameter,30
1012,T,an,hot star,30
365,T,an,solar telescope,29
366,T,an,horizontal coordinate,29
368,T,an,angular resolution,29
373,T,n,umbra,29
377,T,an,autumnal equinox,29
380,T,n,astigmatism,29
1772,T,an,interstellar medium,29
1773,T,nn,absorption line,29
5200,V[s],an,light ray,29
5756,V[mg]+,an,multiple star,29
388,T,nn,quantum efficiency,28
389,T,an,spherical triangle,28
390,T,npn,minute of arc,28
391,T,nn,gas cloud,28
393,T,npnn,start of figure end,28
394,T,ann,polar axis scope,28
395,T,an,solar image,28
396,T,n,sourceselector,28
398,T,n,photoelectron,28
400,T,n,iridium,28
401,T,n,copernicus,28
403,T,nn,ken hose,28
404,T,npn,point of light,28
405,T,an,local meridian,28
1032,T,n,dawes,28
1039,T,an,astronomical almanac,28
1056,T,r,gravitationally,28
1058,T,an,astronomical league,28
1060,T,an,adaptive optic,28
1067,T,n,ganymede,28
1073,T,n,guidescope,28
1116,T,n,kornei,28
1788,T,an,ecliptic longitude,28
1790,T,n,ayanamsha,28
2750,T,nn,star alignment,28
20379,T,an,dark site,28
20680,T,n,kelvin,28
21166,T,n,crystal,28
133,V[s],aan,large magellanic cloud,27
416,T,n,photometer,27
417,T,an,outer planet,27
420,T,n,pulsation,27
426,T,n,octans,27
1119,T,a,extragalactic,27
1121,T,an,newtonian reflector,27
15947,T,n,hercule,27
20219,T,n,bulge,27
20262,T,n,einstein,27
20466,T,n,sear,27
436,T,n,magnetosphere,26
438,T,an,polar cap,26
439,T,n,huygens,26
440,T,an,kinetic energy,26
443,T,npn,orbit of planet,26
444,T,an,orbital plane,26
1176,T,an,light source,26
1184,T,a,jovian,26
1191,T,nn,telescope collector,26
1199,T,ann,automatic goto slewing,26
1212,T,an,radial velocity,26
467,T,npn,part of spectrum,25
474,T,an,major planet,25
475,T,n,spica,25
476,T,nn,azimuth adjustment,25
477,T,n,deneb,25
478,T,n,zeta,25
480,T,n,apogee,25
485,T,a,opaque,25
486,T,n,orbiter,25
1224,T,an,cepheid variable,25
1225,T,nn,star atlas,25
2820,T,an,continuous spectrum,25
20428,T,n,nitrogen,25
20519,T,a,conspicuous,25
491,T,npn,velocity of light,24
492,T,nn,helium fusion,24
495,T,an,cosmic ray,24
499,T,n,methane,24
503,T,an,zodiacal light,24
505,T,an,angular velocity,24
509,T,nn,dwarf star,24
514,T,n,vixen,24
2240,T,n,light-gathering,24
4248,T,nn,reflector telescope,24
15965,T,n,lava,24
17520,V[mg]+,an,cosmic ray,24
18973,V[m],nn,star map,24
20472,T,an,red light,24
20898,T,n,span,24
540,T,an,polar diagram,23
543,T,an,stellar parallax,23
544,T,n,cephei,23
548,T,n,tauri,23
1391,T,n,maksutov-cassegrain,23
1398,T,n,palomar,23
2387,T,an,galactic coordinate,23
2388,T,nn,cassegrain telescope,23
5720,T,a,ecliptical,23
15324,T,a,monochrome,23
20298,T,n,canyon,23
559,T,n,libra,22
570,T,nn,radiation pressure,22
571,T,nn,winter solstice,22
1444,T,n,bandpass,22
1526,T,aan,supermassive black hole,22
8218,T,a,catadioptric,22
611,T,anpn,focal plane of telescope,21
612,T,an,large aperture,21
621,T,a,geostationary,21
627,T,n,persei,21
628,T,an,solar radiation,21
631,T,nn,dust storm,21
632,T,n,luminance,21
633,T,n,ionosphere,21
635,T,n,castor,21
636,T,n,cepheids,21
1578,T,n,lynds,21
1579,T,nn,isaac newton,21
1583,T,an,lock knob,21
658,T,nn,crab nebula,20
665,T,n,gyroscope,20
666,T,an,active region,20
667,T,a,two-dimensional,20
668,T,n,pinhole,20
669,T,an,circumpolar star,20
670,T,n,quadrature,20
671,T,n,calcium-k,20
672,T,nn,time step,20
673,T,n,lavoisier,20
1589,T,nn,plate scale,20
1593,T,nn,half pillar,20
1595,T,nn,star diagonal,20
1617,T,nn,find object,20
1619,T,n,collinder,20
1632,T,nn,object locator,20
1637,T,an,planetary orbit,20
1639,T,an,light change,20
1668,T,an,swiss ephemeris,20
1686,T,n,j2000,20
1691,T,a,bortle,20
1701,T,an,brown dwarf,20
1704,T,an,light amplitude,20
1709,T,a,invariant,20
1748,T,npn,position of object,20
2789,T,a,apochromatic,20
2790,T,n,berenices,20
2791,T,r,neowise,20
2792,T,an,direct vision,20
2793,T,n,wide-field,20
3662,T,a,thermonuclear,20
4762,V[s],an,circumpolar star,20
8235,V[mg],nn,time step,20
15294,T,n,amplification,20
15957,T,a,related,20
15959,T,n,ritchey-chretien,20
20226,T,n,haze,20
20265,T,a,turbulent,20
20266,T,n,springer,20
20618,T,n,fork,20
20729,T,n,warranty,20
20743,T,a,conventional,20
21083,T,a,back,20
21317,T,n,trace,20
21398,T,r,seemingly,20
21461,T,a,preferred,20
21540,T,n,northwest,20
21658,T,a,permanent,20
21663,T,a,enormous,20
21759,T,n,bearing,20
21775,T,n,collaboration,20
21998,T,a,realistic,20
22188,T,a,empty,20
22299,T,n,east,20
22434,T,n,stability,20
22459,T,n,caution,20
22492,T,a,so-called,20
22494,T,r,faster,20
22593,T,a,frank,20
22738,T,n,jean,20
23324,T,n,trick,20
23355,T,n,kingdom,20
23485,T,n,secret,20
23549,T,n,importance,20
23822,T,r,virtually,20
24158,T,n,writer,20
24300,T,n,owner,20
24387,T,n,grant,20
24731,T,a,official,20
6,V[s],anpn,focal length of telescope,19
44,V[s],nnn,oregon star party,19
682,T,nn,diffraction grating,19
683,T,an,bolometric magnitude,19
684,T,n,ceti,19
686,T,nnn,oregon star party,19
687,T,npn,billion of star,19
688,T,n,cetus,19
689,T,n,mira,19
691,T,n,altazimuth,19
692,T,n,mons,19
693,T,nn,magnitude limit,19
694,T,n,theodolite,19
695,T,n,spectrometry,19
696,T,npn,eclipse of sun,19
697,T,npn,constellation of orion,19
698,T,npn,magnitude of star,19
699,T,an,optical measurement,19
701,T,nn,camera lens,19
702,T,npn,motion of planet,19
703,T,an,small angle,19
704,T,nnnnn,stub stewart state park dusk,19
705,T,nn,index file,19
706,T,an,globular star,19
707,T,an,minor body,19
708,T,n,zeeman,19
709,T,anpn,focal length of telescope,19
710,T,n,gimp,19
711,T,nn,counterweight bar,19
713,T,an,long wavelength,19
714,T,nn,fit viewer,19
715,T,a,concave,19
716,T,nn,astronomy -,19
717,T,nn,whirlpool galaxy,19
718,T,npn,type of object,19
719,T,nn,timekeeping system,19
720,T,an,low left,19
721,T,a,spectroscopic,19
722,T,an,astronomical phenomenon,19
723,T,n,centaurus,19
724,T,a,inverted,19
725,T,n,eratosthenes,19
726,T,an,mobile device,19
727,T,nnn,se raymond st,19
728,T,nn,coast image,19
729,T,n,annulus,19
730,T,npn,sphere of influence,19
731,T,n,uc-hipacc,19
732,T,a,cosmological,19
733,T,an,bright nebula,19
734,T,an,clear night,19
1774,T,n,wikipedia,19
1775,T,nn,state university,19
1776,T,an,modern telescope,19
1777,T,an,eastern horizon,19
1778,T,nn,greenwich meridian,19
1779,T,npn,side of moon,19
1781,T,n,sketchup,19
1782,T,n,arc-second,19
1783,T,an,equatorial grid,19
1784,T,an,average distance,19
1785,T,n,aristarchus,19
4108,V[s],nn,coast image,19
4891,V[s],an,clear night,19
8220,T,a,rayleigh,19
8385,V[s],nn,timekeeping system,19
12398,V[s],an,good result,19
15269,T,n,flashlight,19
15315,T,n,co-ordinate,19
15885,T,n,plural,19
15955,T,a,detectable,19
15981,T,n,thickness,19
15982,T,n,scorpion,19
20227,T,an,blue light,19
20283,T,a,intermediate,19
20341,T,a,hale,19
20359,T,a,radioactive,19
20455,T,a,ultra,19
20478,T,r,periodically,19
20518,T,a,organic,19
20695,T,n,shutter,19
20921,T,n,vacuum,19
21075,T,r,progressively,19
21088,T,n,anomaly,19
21124,T,n,handle,19
21256,T,n,bracket,19
21404,T,n,neighborhood,19
21408,T,n,albert,19
21609,T,n,lamp,19
21615,T,an,good result,19
21723,T,n,load,19
21836,T,n,canal,19
21886,T,r,permanently,19
22053,T,n,ladder,19
22209,T,n,highlight,19
22427,T,a,pacific,19
22647,T,a,traditional,19
22784,T,n,stick,19
22832,T,n,eagle,19
23217,T,n,creation,19
23620,T,n,drop,19
23633,T,n,engine,19
23939,T,r,totally,19
23975,T,n,review,19
24208,T,n,expert,19
24464,T,a,happy,19
741,T,npn,bottom of screen,18
742,T,nn,target star,18
743,T,n,lyra,18
744,T,an,elementary particle,18
745,T,nn,image size,18
747,T,an,flat field,18
748,T,an,optical surface,18
749,T,nn,transmission efficiency,18
751,T,nn,tele vue,18
752,T,nn,radiation law,18
753,T,nn,finder chart,18
754,T,an,sixth magnitude,18
755,T,npn,pair of binoculars,18
756,T,an,galilean moon,18
757,T,an,atmospheric extinction,18
759,T,npan,copy of single issue,18
760,T,anpn,average number of copy,18
761,T,an,southern sky,18
762,T,npn,pattern of star,18
763,T,nn,dso catalog,18
764,T,npn,image of sun,18
765,T,n,overlay,18
766,T,an,interstellar gas,18
767,T,an,irregular galaxy,18
768,T,an,imaginary line,18
769,T,an,invariant section,18
770,T,an,vertical stop,18
771,T,nn,move telescope,18
772,T,an,cool star,18
773,T,n,pegasus,18
774,T,nn,dwarf galaxy,18
777,T,n,rendering,18
778,T,npn,orbit of mar,18
783,T,n,iapetus,18
788,T,n,regulus,18
789,T,n,uranometria,18
790,T,nn,luminosity class,18
792,T,n,albireo,18
1826,T,ann,celestial coordinate system,18
1922,T,nn,schmidt-cassegrain telescope,18
1926,T,n,coronagraph,18
1954,T,an,astronomical twilight,18
1963,T,an,subatomic particle,18
3058,T,an,planetary nomenclature,18
3865,V[p],an,subatomic particle,18
4282,T,nn,ocular plugin,18
6969,V[s]+,nn,radiation law,18
818,T,n,opacity,17
820,T,n,etalon,17
821,T,nn,dust tail,17
822,T,n,omega,17
827,T,n,boson,17
831,T,an,intrinsic brightness,17
836,T,an,gibbous moon,17
838,T,nn,dust particle,17
843,T,n,eridanus,17
844,T,n,ophiuchus,17
846,T,an,dynamical time,17
847,T,nn,gas giant,17
848,T,n,aquarius,17
849,T,n,achromat,17
2052,T,nn,near-earth asteroid,17
2058,T,ann,european space agency,17
2061,T,an,gravitational pull,17
2157,V[s]+,nn,rotation period,17
3395,T,nn,earth orbit,17
4328,T,an,satellite orbit,17
4329,T,nn,perseid meteor,17
9699,V[s],an,gibbous moon,17
15479,V[mg]+,nn,gas giant,17
18120,V[mg],an,deep space,17
18419,V[mg],nn,roche lobe,17
20241,T,a,hazy,17
21066,T,n,alexandria,17
22997,T,n,climate,17
866,T,n,lambda,16
867,T,n,aquila,16
868,T,an,atmospheric effect,16
870,T,n,crux,16
872,T,n,planisphere,16
874,T,nn,hydrogen-alpha filter,16
875,T,n,pollux,16
882,T,an,active galaxy,16
892,T,nn,oort cloud,16
893,T,nn,magnitude system,16
906,T,n,astro,16
908,T,an,blue star,16
909,T,npn,altitude of sun,16
910,T,n,astrocalc,16
911,T,npn,region of spectrum,16
917,T,an,astronomical body,16
919,T,an,equatorial system,16
920,T,n,archaeolines,16
921,T,a,coplanar,16
922,T,ann,globular star cluster,16
923,T,nn,kstars window,16
924,T,nn,entry space,16
2087,T,nn,gamma-ray burst,16
2103,T,an,practical astronomy,16
2131,T,n,brahe,16
2143,T,nn,photon energy,16
2160,T,n,callisto,16
2161,T,an,giant planet,16
2172,T,nn,autofocus process,16
2180,T,a,outermost,16
2205,T,nn,horizon panorama,16
2235,T,an,light variation,16
2323,T,an,diurnal motion,16
4590,V[s],nn,photon energy,16
625,V[s],an,light beam,15
941,T,nn,ring system,15
944,T,nn,alpha centauri,15
950,T,a,coronal,15
952,T,n,arcturus,15
954,T,n,lyman,15
956,T,n,vlbi,15
972,T,npn,force of gravity,15
976,T,an,atomic nucleus,15
977,T,nn,pole star,15
978,T,n,gyro,15
979,T,an,angular measure,15
980,T,an,angular momentum,15
981,T,an,local horizon,15
982,T,nn,doppler effect,15
983,T,nn,supernova explosion,15
985,T,nnn,indi control panel,15
987,T,n,bellatrix,15
990,T,n,registax,15
2393,T,an,electromagnetic wave,15
2394,T,n,procellarum,15
2396,T,an,orbital eccentricity,15
2406,T,n,vulpecula,15
2412,T,n,copernican,15
2413,T,a,isotropic,15
3879,T,n,synchrotron,15
4216,T,nn,seyfert galaxy,15
5724,T,nn,blackbody radiation,15
5725,T,ann,horizontal coordinate system,15
8339,T,n,hertzsprung-russell,15
8456,T,a,extraterrestrial,15
15901,T,n,ramsden,15
20231,T,n,cavity,15
1035,T,npn,law of gravitation,14
1049,T,nn,virgo cluster,14
1061,T,n,hotkeys,14
1077,T,an,galactic nucleus,14
1082,T,n,scutum,14
1085,T,an,annular eclipse,14
1090,T,an,solar cycle,14
1096,T,n,aurorae,14
1097,T,n,perseids,14
1099,T,an,magnetic pole,14
1104,T,n,altaz,14
1106,T,npn,layer of sun,14
1109,T,n,mizar,14
2736,T,n,clavius,14
2747,T,an,light path,14
2760,T,nn,nebula filter,14
3446,V[s],aan,astronomical optical measurement,14
3465,V[s],an,great nebula,14
4249,T,npn,courtesy of marvin,14
4250,T,n,barycenter,14
4252,T,nn,h-beta filter,14
66,V[s],aan,total lunar eclipse,13
201,V[s],nnn,kuiper belt object,13
432,V[s],nn,galaxy cluster,13
488,V[s],ann,great orion nebula,13
894,V[s],aan,total lunar eclipse,13
1124,T,an,diffuse nebula,13
1127,T,nn,h-r diagram,13
1128,T,an,solar surface,13
1133,T,n,geminids,13
1135,T,an,peculiar galaxy,13
1137,T,an,axial tilt,13
1145,T,n,melotte,13
1146,T,n,velum,13
1158,T,n,analemma,13
1159,T,npn,radius of earth,13
1160,T,an,sidereal year,13
1208,T,n,astrophysicist,13
2808,T,a,cataclysmic,13
4323,T,a,astrometric,13
4324,T,n,autostar,13
1276,T,nn,albert einstein,12
1279,T,n,ghams,12
1280,T,nn,electron volt,12
1292,T,n,mintaka,12
1318,T,nn,hydrogen fusion,12
1334,T,an,gregorian calendar,12
2825,T,an,infrared radiation,12
2873,T,nn,azimuth encoder,12
2915,T,an,maximum elongation,12
3194,T,a,stargazing,12
3211,T,n,camelopardalis,12
3232,T,nn,iridium flare,12
476,V[s],nnn,azimuth adjustment knob,11
1077,V[s],aan,active galactic nucleus,11
1407,T,an,partial eclipse,11
1461,T,an,interstellar cloud,11
1463,T,n,venaticorum,11
1469,T,n,hadron,11
1470,T,n,plutino,11
1471,T,nn,shooting star,11
1475,T,n,astroinfo,11
1486,T,a,heliographic,11
1503,T,n,pythagoras,11
1510,T,nn,hydrogen gas,11
1548,T,n,lanthanum,11
1559,T,n,astrocalculator,11
1562,T,n,gauss,11
3399,T,an,catadioptric telescope,11
3401,T,n,nanometer,11
3407,T,an,artificial horizon,11
3425,T,a,novalike,11
3427,T,a,spheroidal,11
8215,T,an,ultraviolet radiation,11
8216,T,an,achromatic refractor,11
8451,T,n,spectroheliograph,11
10,V[s],aan,geocentric celestial sphere,10
31,V[s],aan,annular solar eclipse,10
258,V[s]+,nnn,radio astronomy observatory,10
1669,T,an,stellar spectra,10
162,T,nn,parallax,10
165,T,ann,atmosphere,10
1669,T,n,apparent magnitude,10
890,T,a,density,10
63289,T,an,ejecta,10
235,T,n,mass,10
96,T,n,oort cloud,10
7654,T,nn,perihelion,10
12,T,aan,planum,10
234,T,aa,quadrature,10
678,T,a,radio galaxy,10
98,T,nnn,yellow dwarf,10
87654,T,n,albedo feature,10
5345,T,nn,aurora,10
9234,T,an,azimuth,10
76544,T,aan,big bang,10
564,T,a,blueshift,10
4562,T,nnn,cavus,10
829,T,a,corona,10
87,T,nn,cosmic ray,10
6576,T,nn,faculae,10
2345,T,n,flare star,10
1237,T,aan,geosynchronous orbit,10
47,T,aaa,hydrostatic equilibrium,10
7259,T,nnn,irregular galaxy,10